mode,code,basis,rounds,shots,relay_solutions,gamma_mode,beta_int_low,beta_int_high,memory_strength_scale,alpha_mode,alpha_value,i64_data_scale_value,i64_max_data_value,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,72_12_6,X,6,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.524,6.0,20.0,41.0,85,228.57599999999996,38.096,9.304643040324354,223.3114329677845,37.218572161297416,0.9769679798744597,252,2232,7776,35,6,0.5116585830692202
i64_scale8_wide_proxy,72_12_6,Z,6,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.166,6.0,17.100000000000023,43.0,225,219.984,36.664,8.954888503529299,214.91732408470318,35.819554014117195,0.9769679798744597,252,2232,7776,35,6,0.49655504198744893
i64_scale8_wide_proxy,90_8_10,X,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,14.139,10.0,29.0,61.01999999999998,160,339.336,33.9336,13.813350267444985,331.5204064186796,33.15204064186796,0.9769679798744597,495,4590,16020,35,6,1.3988948329351842
i64_scale8_wide_proxy,90_8_10,Z,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,13.88,9.0,29.0,59.0,173,333.12,33.312,13.560315560657502,325.44757345578006,32.544757345578006,0.9769679798744597,495,4590,16020,35,6,1.4328826670534909
i64_scale8_wide_proxy,108_8_10,X,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,16.498,11.0,30.0,74.03999999999996,1061,395.952,39.5952,16.118017731968838,386.83242556725213,38.68324255672521,0.9769679798744597,594,5508,19224,35,6,1.857368457945995
i64_scale8_wide_proxy,108_8_10,Z,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,15.627,10.5,32.0,71.00999999999999,127,375.048,37.5048,15.267078621498182,366.40988691595635,36.64098869159564,0.9769679798744597,594,5508,19224,35,6,1.8235514170955867
i64_scale8_wide_proxy,144_12_12,X,12,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,19.784,15.0,38.0,76.09999999999991,154,474.816,39.568,19.32833451383631,463.88002833207145,38.65666902767262,0.9769679798744597,936,8784,30672,35,6,3.584017541958019
i64_scale8_wide_proxy,144_12_12,Z,12,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,21.159,16.0,39.0,84.04999999999995,393,507.816,42.318,20.671665486163693,496.11997166792867,41.34333097232739,0.9769679798744597,936,8784,30672,35,6,3.5978131250012666
i64_scale8_wide_proxy,288_12_18,X,18,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,35.109,31.0,57.10000000000002,119.00999999999999,501,842.616,46.812,34.30036880541241,823.2088513298979,45.73382507388322,0.9769679798744597,2736,26208,91584,35,6,16.85850729199592
i64_scale8_wide_proxy,288_12_18,Z,18,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,37.645,34.0,60.10000000000002,114.01999999999998,215,903.48,50.193333333333335,36.77795960237404,882.671030456977,49.03727946983205,0.9769679798744597,2736,26208,91584,35,6,18.23287204094231
i64_scale8_wide_proxy,360_12_24,X,24,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,47.433,43.0,75.0,128.04999999999995,918,1138.392,47.433,46.34052218938525,1112.172532545246,46.34052218938525,0.9769679798744597,4500,43560,152280,35,6,39.46239141700789
i64_scale8_wide_proxy,360_12_24,Z,24,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,47.257,44.0,73.0,136.0,279,1134.168,47.257,46.16857582492734,1108.0458197982562,46.16857582492734,0.9769679798744597,4500,43560,152280,35,6,38.98413837491535
i64_scale8_wide_proxy,648_12_30,X,30,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,69.64,62.5,107.0,175.27999999999975,742,1671.3600000000001,55.712,68.03605011845738,1632.8652028429772,54.4288400947659,0.9769679798744597,10044,97848,342144,35,6,132.9963114169659
i64_scale8_wide_proxy,648_12_30,Z,30,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,70.189,63.0,102.10000000000002,182.01999999999998,607,1684.5359999999998,56.151199999999996,68.57240553940845,1645.7377329458027,54.857924431526754,0.9769679798744597,10044,97848,342144,35,6,158.88525745808147
i64_scale8_wide_proxy,756_16_34,X,34,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,75.489,68.0,112.0,170.0,901,1811.736,53.286352941176474,73.75033583274309,1770.0080599858343,52.05906058781866,0.9769679798744597,13230,129276,452088,35,6,226.5195820829831
i64_scale8_wide_proxy,756_16_34,Z,34,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,81.567,73.0,122.0,202.04999999999995,845,1957.6079999999997,57.57670588235293,79.68834721442005,1912.5203331460812,56.25059803370827,0.9769679798744597,13230,129276,452088,35,6,248.9814128750004
